 ,GS029, GS028, GS021, GS023, GS022, GS027, GS026, GS051, GS108a, GS117a, GS011, GS012, GS013, GS014, GS015, GS016, GS017, GS018, GS019, GS119, GS049, GS113, GS112a, GS030, GS031, GS036, GS048a, GS034, GS035, GS122a, GS114, GS110a, GS120, GS121, GS123, GS148, GS149, GS007, GS006, GS005, GS004, GS003, GS002, GS001c, GS009, GS008
GS048a,6725.7, 6741.5, 8208.7, 7401.2, 7812.6, 6730.7, 6838.8, 362.8, 11989.5, 16305.9, 9952.7, 9859.6, 9811.6, 9327.8, 8605.6, 8474.4, 8194.7, 8229.2, 8255.9, 14891.8, 2.9, 14262.4, 13791.3, 6660.7, 6636.6, 6694.7, 0.0, 6776.8, 6685.7, 14526.0, 15451.8, 12917.5, 14718.7, 14624.0, 14427.5, 17176.7, 17214.4, 10791.0, 10983.1, 11069.8, 11053.1, 10813.9, 10722.5, 10606.6, 10329.4, 10364.5
GS034,65.0, 92.8, 1507.7, 786.5, 1120.0, 94.0, 183.2, 6484.2, 18418.5, 16174.4, 4674.2, 4596.3, 4329.1, 3835.7, 2872.6, 2804.7, 2384.1, 2167.9, 1658.9, 15195.9, 6775.0, 18317.7, 18583.7, 167.2, 152.8, 109.7, 6776.8, 0.0, 260.9, 13764.5, 17202.8, 18800.8, 14853.8, 14080.8, 13365.7, 14398.0, 14352.5, 5419.8, 5639.8, 5659.5, 5609.0, 5374.1, 5296.3, 4520.3, 4981.6, 5030.2
GS035,207.7, 334.2, 1537.9, 750.3, 1139.7, 328.6, 169.8, 6383.9, 18486.6, 16369.8, 4540.5, 4459.9, 4204.8, 3701.1, 2735.2, 2658.2, 2238.3, 2048.3, 1645.1, 15449.3, 6683.8, 18560.4, 18843.3, 125.9, 188.8, 171.2, 6685.7, 260.9, 0.0, 14020.8, 17408.2, 19007.9, 15109.4, 14336.6, 13622.1, 14594.3, 14547.9, 5307.0, 5528.6, 5553.7, 5505.0, 5265.8, 5185.7, 4460.2, 4859.2, 4907.7
GS122a,13825.5, 13710.0, 13334.4, 13826.8, 13539.8, 13718.9, 13878.7, 14827.0, 6134.6, 3321.9, 14234.7, 14301.3, 14140.4, 14385.3, 14463.4, 14571.7, 14519.7, 14249.2, 13533.5, 1452.7, 14528.8, 4581.0, 4826.8, 13927.6, 13889.2, 13869.4, 14526.0, 13764.5, 14020.8, 0.0, 3858.1, 5423.3, 1091.1, 319.3, 398.9, 2734.9, 2759.0, 13631.9, 13523.6, 13412.2, 13396.9, 13561.6, 13633.2, 13055.8, 13949.5, 13938.5
GS114,17267.5, 17185.6, 16097.8, 16863.8, 16458.2, 17196.7, 17239.0, 15800.9, 3592.8, 1049.9, 14506.5, 14601.0, 14701.0, 15207.1, 15971.8, 16102.4, 16380.6, 16324.4, 16135.5, 2440.3, 15454.3, 1275.5, 1744.4, 17365.3, 17353.6, 17311.2, 15451.8, 17202.8, 17408.2, 3858.1, 0.0, 2639.6, 2823.6, 3545.6, 4239.8, 2817.1, 2864.5, 13648.2, 13438.1, 13366.7, 13393.7, 13643.0, 13735.2, 13968.6, 14127.3, 14086.7
GS110a,18827.5, 18709.3, 18672.8, 19237.5, 18953.0, 18710.7, 18982.4, 13248.6, 953.2, 3670.3, 16417.0, 16501.9, 16732.4, 17250.8, 18206.9, 18301.7, 18708.5, 18815.8, 18764.1, 4071.1, 12919.8, 1369.9, 895.8, 18883.8, 18820.1, 18849.9, 12917.5, 18800.8, 19007.9, 5423.3, 2639.6, 0.0, 4366.5, 5120.1, 5814.5, 5377.9, 5428.5, 15616.6, 15393.3, 15357.5, 15402.1, 15648.2, 15732.6, 16325.7, 16079.9, 16032.0
GS120,14915.0, 14800.1, 14363.0, 14892.3, 14589.7, 14809.1, 14965.7, 15057.9, 5122.2, 2450.0, 14798.1, 14876.4, 14774.2, 15098.5, 15330.4, 15448.9, 15453.6, 15206.3, 14545.4, 383.3, 14721.5, 3490.0, 3740.6, 15017.3, 14979.4, 14959.1, 14718.7, 14853.8, 15109.4, 1091.1, 2823.6, 4366.5, 0.0, 773.3, 1489.9, 2463.0, 2504.1, 14089.9, 13946.8, 13841.1, 13837.1, 14034.3, 14115.4, 13722.2, 14470.3, 14450.4
GS121,14142.0, 14026.9, 13627.4, 14132.8, 13840.2, 14035.9, 14193.7, 14937.3, 5846.6, 3039.6, 14389.2, 14459.4, 14315.2, 14584.1, 14707.6, 14819.3, 14784.1, 14520.2, 13821.1, 1133.5, 14626.8, 4262.5, 4512.2, 14244.2, 14206.1, 14186.0, 14624.0, 14080.8, 14336.6, 319.3, 3545.6, 5120.1, 773.3, 0.0, 717.2, 2589.8, 2618.9, 13753.2, 13634.2, 13524.0, 13512.1, 13686.9, 13761.6, 13236.9, 14090.4, 14076.7
GS123,13426.7, 13311.1, 12952.0, 13433.7, 13151.1, 13320.0, 13480.4, 14711.2, 6512.9, 3662.7, 13993.3, 14055.6, 13877.0, 14095.2, 14126.1, 14231.0, 14162.8, 13886.2, 13155.8, 1849.0, 14430.2, 4979.7, 5225.1, 13528.7, 13490.3, 13470.6, 14427.5, 13365.7, 13622.1, 398.9, 4239.8, 5814.5, 1489.9, 717.2, 0.0, 2916.4, 2934.2, 13430.3, 13334.6, 13222.1, 13203.2, 13355.5, 13423.4, 12788.4, 13724.4, 13716.3
GS148,14462.1, 14388.2, 13315.5, 14058.2, 13659.9, 14399.5, 14424.7, 17507.8, 6315.3, 1776.5, 12594.8, 12682.5, 12655.7, 13075.2, 13590.5, 13723.3, 13887.1, 13743.9, 13386.7, 2322.8, 17179.5, 4062.0, 4506.3, 14557.5, 14550.2, 14504.9, 17176.7, 14398.0, 14594.3, 2734.9, 2817.1, 5377.9, 2463.0, 2589.8, 2916.4, 0.0, 52.8, 11809.0, 11640.7, 11542.3, 11548.0, 11768.1, 11855.5, 11702.0, 12235.5, 12207.7
