"","GS001c","GS002","GS003","GS004","GS005","GS006","GS007","GS008","GS009","GS011","GS013","GS014","GS015","GS016","GS017","GS018","GS019","GS021","GS022","GS023","GS026","GS027","GS028","GS029","GS030","GS031","GS034","GS035","GS036","GS048a","GS049","GS051","GS108a","GS110a","GS112a","GS113","GS114","GS117a","GS119","GS120","GS121","GS122a","GS123","GS148","GS149"
"POTRA_2",5.21131898483506e-05,2.05260133008566e-05,8.99523252676082e-05,2.93841090738129e-05,4.37534638158854e-05,0.000130938351843255,8.25477538756171e-05,0.000170605764200086,5.59252838208154e-05,0.000127275777683928,8.22519313386186e-05,7.2544238034386e-05,8.86205655099837e-05,8.72823759426497e-05,0.000108152107400735,6.46412411118293e-05,6.3281460114223e-05,0.000100407207006192,6.97119155091584e-05,9.95272455834785e-05,0.000115885123758495,8.01531245291004e-05,6.70114031070954e-05,7.32512570438932e-05,0.000109924170342819,7.50824374517327e-05,8.50245242612166e-05,9.28096912856585e-05,6.51277900280049e-05,0.000145553345301053,0.000172003061654497,9.51814396192742e-05,7.19320961012804e-05,7.88355982143737e-05,0.000121599880270887,0.000134698275862069,0.000131610525745341,6.83108564342258e-05,7.46491489997014e-05,9.40928508251943e-05,0.000141287601003815,0.00010435780813817,2.89180318387531e-05,0.000112901404816051,6.66040095613756e-05
"WAC_Acf1_DNA_bd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60015308272487e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTH",0,0,0,5.87682181476258e-05,0,0,0,0,0,0,0,1.11606520052901e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytochrome-c551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94883997620464e-06,0,0,0,0,0,0,0,0,0,8.69648401151414e-06,0,0,0
"Osmo_CC",0,0,0,0,1.45844879386285e-05,0,0,0,0,0,0,0,5.53878534437398e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35383694391439e-06,0,0,0,0,0,0,0,7.22950795968826e-06,0,0
"DUF1963",7.44474140690723e-06,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foamy_virus_ENV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57817816701065e-06,5.80932629242987e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zf-RING-like",0,0,0,0,0,1.1903486531205e-05,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,5.52929142130436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AstB",7.44474140690723e-06,0,1.28503321810869e-05,0,1.45844879386285e-05,5.9517432656025e-05,0,0.00012511089374673,8.38879257312231e-05,0,2.53082865657288e-05,2.79016300132254e-05,1.1077570688748e-05,6.40070756912764e-05,2.56149728054372e-05,2.48620158122421e-05,1.58203650285558e-05,3.34690690020639e-05,5.22839366318688e-05,3.87050399491305e-05,2.72670879431754e-05,5.12979996986243e-05,4.09514130098916e-05,2.09289305839695e-05,4.68529250641525e-05,1.83875357024652e-05,1.59420982989781e-05,2.44236029699101e-05,3.72158800160028e-05,5.82213381204211e-05,0,4.75907198096371e-05,0,1.97088995535934e-05,0,1.41787658802178e-05,1.29029927201315e-05,2.10187250566849e-05,1.24415248332836e-05,1.88185701650389e-05,6.72798100018166e-06,1.73929680230283e-05,7.22950795968826e-06,1.61287721165788e-05,2.22013365204585e-05
"DUF2343",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF299",0.000230786983614124,0.000212102137442185,0.000167054318354129,0.000235072872590503,0.000102091415570399,0.000345201109404945,3.30191015502468e-05,0.000199040058233434,0.000223701135283262,0.000271907343233846,0.000164503862677237,0.000245534344116383,0.000204935057741837,0.000209477702262359,0.000213458106711977,0.000298344189746905,0.000158203650285558,0.00016734534501032,0.000284656988329063,0.000293052445329131,0.000231770247516991,0.000253283873511957,0.000294105602525585,0.000251147167007634,0.000367615258195658,0.00034323399977935,0.000180677114055085,0.000175849941383353,0.00026051116011202,0.000242588908835088,0.000309605510978095,0.000285544318857823,0.000305711408430442,0.000295633493303901,0.000289968945261346,0.000248128402903811,0.000250318058770551,0.00025747938194439,0.000186622872499254,0.000414008543630855,0.000363310974009809,0.000347859360460566,0.00033255736614566,0.000233867195690392,0.00029601782027278
"DUF3023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94883997620464e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRA-CH",0.000305234397683196,0.000403678261583514,0.000269856975802825,0.000235072872590503,0.000102091415570399,0.00033329762287374,4.95286523253702e-05,0.000142171470166739,0.0003635143448353,0.00030083365634383,0.000221447507450127,0.000290176952137544,0.000265861696529951,0.000174564751885299,0.000281764700859809,0.000338123415046492,0.000210938200380743,0.000295643442851565,0.000336940924960932,0.000298581736750435,0.000368105687232868,0.000307787998191746,0.000312719881166445,0.000256379399653626,0.000302741977337601,0.000375412187258664,0.000260387605549976,0.000219812426729191,0.000213991310092016,0.000252292465188492,0.00036980658255717,0.000297441998810232,0.000377643504531722,0.000394177991071869,0.000364799640812661,0.00025521778584392,0.000312252423827183,0.000267988744472732,0.000311038120832089,0.000414008543630855,0.000390222898010536,0.000304376940402995,0.00037593441390379,0.000282253512040128,0.000333020047806878
"DLH",0.000670026726621651,0.000697884452229125,0.000745319266503039,0.000808062999529854,0.000685470933115538,0.000714209191872299,0.00072642023410543,0.000790473374127067,0.000922767183043454,0.000798366241835548,0.000955387817856262,0.000708701402335925,0.000720042094768617,0.000715715482729727,0.000768449184163116,0.000740888071204813,0.000722463336304046,0.000613599598371172,0.000726165786553733,0.000663514970556523,0.000674860426593591,0.000589926996534179,0.000692451165439986,0.000664493546041031,0.000728022374073754,0.000720178481679885,0.000632369899192798,0.000703399765533411,0.000800141420344061,0.000737470282858668,0.000713812705866164,0.000588935157644259,0.000539490720759603,0.000640539235491786,0.000495753358027463,0.000645133847549909,0.000719986993783338,0.000662089839285574,0.000547427092664477,0.000639831385611321,0.000706438005019074,0.000652236300863561,0.000889229479041656,0.000717730359187755,0.000621637422572839
"Phage_QLRG",0,2.05260133008566e-05,1.28503321810869e-05,4.40761636107193e-05,0.000218767319079427,2.380697306241e-05,0.000115566855425864,1.13737176133391e-05,1.86417612736051e-05,0,0.000164503862677237,5.58032600264507e-06,0,0,5.69221617898605e-06,9.94480632489682e-06,2.63672750475929e-05,2.78908908350533e-05,1.74279788772896e-05,1.65878742639131e-05,1.36335439715877e-05,3.52673747928042e-05,2.97828458253757e-05,0,1.80203557939048e-06,1.5322946418721e-06,0,0,9.30397000400071e-06,9.70355635340352e-06,8.60015308272487e-06,2.97441998810232e-05,0,9.85444977679671e-06,0,7.08938294010889e-06,0,7.88202189625683e-06,2.48830496665671e-05,0,0,8.69648401151414e-06,0,0,0
"MASE1",7.44474140690723e-06,0,1.28503321810869e-05,1.46920545369064e-05,1.45844879386285e-05,0,0,1.70605764200086e-05,0,2.89263131099836e-05,1.89812149242966e-05,1.67409780079352e-05,5.53878534437398e-06,5.81882506284331e-06,2.84610808949302e-06,0,0,1.11563563340213e-05,0,1.65878742639131e-05,2.72670879431754e-05,1.28244999246561e-05,7.44571145634393e-06,0,7.20814231756192e-06,6.12917856748839e-06,1.06280655326521e-05,0,1.86079400080014e-05,7.76284508272282e-05,0,0,0,0,0,0,5.1611970880526e-06,2.62734063208561e-06,0,1.88185701650389e-05,0,8.69648401151414e-06,0,8.06438605828938e-06,0
"DUF2860",0,6.84200443361887e-06,0,0,0,4.761394612482e-05,0,1.13737176133391e-05,0,0,0,0,0,0,2.84610808949302e-06,4.97240316244841e-06,5.27345500951859e-06,1.6734534501032e-05,0,0,0,0,0,0,0,3.06458928374419e-06,0,4.88472059398202e-06,0,0,0,5.94883997620464e-06,0,0,9.35383694391439e-06,0,0,0,0,0,0,8.69648401151414e-06,0,8.06438605828938e-06,7.40044550681951e-06
"DUF2459",0,2.05260133008566e-05,1.28503321810869e-05,0,1.45844879386285e-05,0,3.30191015502468e-05,5.68685880666955e-06,0,0,6.3270716414322e-06,1.11606520052901e-05,2.21551413774959e-05,1.16376501256866e-05,1.70766485369581e-05,9.94480632489682e-06,3.16407300571115e-05,5.57817816701065e-06,1.74279788772896e-05,0,6.81677198579385e-06,6.41224996232803e-06,0,0,0,4.59688392561629e-06,0,0,0,1.9407112706807e-05,8.60015308272487e-06,0,0,0,1.87076738878288e-05,7.08938294010889e-06,7.7417956320789e-06,7.88202189625683e-06,0,0,6.72798100018166e-06,8.69648401151414e-06,7.22950795968826e-06,8.06438605828938e-06,0
"DUF503",0,0,0,0,0,0,0,5.68685880666955e-06,0,0,0,5.58032600264507e-06,5.53878534437398e-06,5.81882506284331e-06,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF2095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57817816701065e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TruB_C",3.72237070345362e-05,0,0,2.93841090738129e-05,0,0,9.90573046507404e-05,1.70605764200086e-05,0,5.78526262199673e-05,1.89812149242966e-05,5.58032600264507e-06,1.66163560331219e-05,0,2.84610808949302e-06,0,5.27345500951859e-06,5.57817816701065e-06,0,5.52929142130436e-06,0,1.60306249058201e-05,1.11685671845159e-05,0,0,6.12917856748839e-06,0.000100966622560195,4.88472059398202e-06,0,9.70355635340352e-06,0,2.37953599048186e-05,0,0,0,1.41787658802178e-05,0,5.25468126417122e-06,0,0,0,0,0,2.41931581748681e-05,1.4800891013639e-05
"Colicin_Ia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70355635340352e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF2635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70355635340352e-06,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"3HCDH_N",0.00127305078058114,0.00129313883795397,0.00133643454683304,0.00152797367183827,0.00109383659539714,0.00149983930293183,0.00148585956976111,0.00155819931302746,0.00113714743768991,0.00116862304964334,0.00124643311336214,0.0016964191048041,0.000985903791298568,0.0014372497905223,0.00127221031600338,0.00134752125702352,0.00123926192723687,0.0015172644614269,0.00138261965759831,0.00119985623842305,0.00113158414964178,0.0013273357422019,0.00142957659961804,0.00135514825531202,0.00136954704033676,0.00148019662404845,0.00123285560178764,0.0014947245017585,0.00141420344060811,0.00135849788947649,0.000963217145265186,0.00161213563355146,0.00145662494605093,0.0011923884229924,0.0012347064765967,0.00131153584392015,0.00109417378266715,0.00131892499730698,0.00126903553299492,0.00122320706072753,0.00111011686502997,0.00122620424562349,0.00142421306805859,0.00132255931355946,0.00119887217210476
"DUF1453",0,0,0,0,0,0,0,0,9.32088063680257e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTH_6",3.72237070345362e-05,0.000116314075371521,0.000102802657448695,5.87682181476258e-05,0.000160429367324913,5.9517432656025e-05,0.000115566855425864,0.000119424034940061,9.32088063680256e-05,4.04968383539771e-05,8.85790029800507e-05,3.90622820185155e-05,3.32327120662439e-05,2.90941253142166e-05,2.84610808949302e-05,3.97792252995873e-05,2.10938200380743e-05,7.80944943381492e-05,1.16186525848597e-05,1.65878742639131e-05,2.72670879431754e-05,5.12979996986243e-05,5.95656916507515e-05,5.23223264599237e-05,7.56854943344001e-05,4.90334285399071e-05,3.71982293642823e-05,3.90777647518562e-05,1.86079400080014e-05,1.9407112706807e-05,1.72003061654497e-05,5.35395597858418e-05,1.79830240253201e-05,1.97088995535934e-05,0,4.25362976406534e-05,1.80641898081841e-05,2.89007469529417e-05,2.48830496665671e-05,0,4.03678860010899e-05,8.69648401151414e-06,2.89180318387531e-05,4.83863163497363e-05,6.66040095613756e-05
