"","GS001c","GS002","GS003","GS004","GS005","GS006","GS007","GS008","GS009","GS011","GS013","GS014","GS015","GS016","GS017","GS018","GS019","GS021","GS022","GS023","GS026","GS027","GS028","GS029","GS030","GS031","GS034","GS035","GS036","GS048a","GS049","GS051","GS108a","GS110a","GS112a","GS113","GS114","GS117a","GS119","GS120","GS121","GS122a","GS123","GS148","GS149"
"UBX",0,1.36840088672377e-05,0,1.46920545369064e-05,0,0,0,0,0,0,6.3270716414322e-06,5.58032600264507e-06,0,5.81882506284331e-06,0,0,0,0,5.80932629242987e-06,0,0,3.20612498116402e-06,0,0,0,0,0,0,1.86079400080014e-05,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,8.69648401151414e-06,0,0,0
"UPF0302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52929142130436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssu72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TraG",7.44474140690723e-06,0,0,0,0,0,0,5.68685880666955e-05,4.66044031840128e-05,1.73557878659902e-05,6.3270716414322e-06,0,1.66163560331219e-05,1.16376501256866e-05,0,0,0,5.57817816701065e-06,0,5.52929142130436e-06,1.36335439715877e-05,6.41224996232803e-06,3.72285572817197e-06,0,0,1.5322946418721e-06,0,0,0,5.82213381204211e-05,8.60015308272487e-06,1.78465199286139e-05,1.79830240253201e-05,0,9.35383694391439e-06,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Glyco_hydro_65N",0,1.36840088672377e-05,5.14013287243475e-05,5.87682181476258e-05,0,8.33244057184349e-05,0,4.54948704533564e-05,1.86417612736051e-05,1.15705252439935e-05,0,5.58032600264507e-06,1.1077570688748e-05,1.16376501256866e-05,5.69221617898605e-06,0,0,1.11563563340213e-05,2.90466314621493e-05,0,1.36335439715877e-05,2.56489998493121e-05,3.72285572817197e-06,1.56966979379771e-05,2.34264625320762e-05,7.66147320936048e-06,1.59420982989781e-05,2.93083235638921e-05,2.79119100120021e-05,6.79248944738247e-05,0,0,0,2.95633493303901e-05,9.35383694391439e-06,0,5.1611970880526e-06,7.88202189625683e-06,0,0,0,0,7.22950795968826e-06,4.83863163497363e-05,1.4800891013639e-05
"PRP38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72798100018166e-06,0,0,0,0
"DUF945",7.44474140690723e-06,0,0,0,0,0,0,2.84342940333477e-05,1.86417612736051e-05,1.15705252439935e-05,0,5.58032600264507e-06,0,0,2.84610808949302e-06,0,0,0,0,0,0,6.41224996232803e-06,0,0,3.60407115878096e-06,0,0,0,0,1.9407112706807e-05,0,0,0,0,9.35383694391439e-06,0,0,2.62734063208561e-06,0,0,6.72798100018166e-06,0,7.22950795968826e-06,0,0
"TRI5",0,0,0,0,0,0,0,0,0,0,0,5.58032600264507e-06,5.53878534437398e-06,0,0,0,0,0,0,0,6.81677198579385e-06,0,0,5.23223264599237e-06,0,0,0,1.46541617819461e-05,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,8.69648401151414e-06,0,8.06438605828938e-06,0
"Transposase_22",0,0,0,1.46920545369064e-05,4.37534638158854e-05,0,0,9.66765997133823e-05,0.000242342896556867,0,0,0,1.1077570688748e-05,2.32753002513732e-05,2.27688647159442e-05,2.48620158122421e-05,0,5.57817816701065e-06,0,0,0,3.20612498116402e-06,3.72285572817197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Pex19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30397000400071e-06,0,0,5.94883997620464e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPF0278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80203557939048e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"MIG-14_Wnt-bd",0,6.84200443361887e-06,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,1.49172094873452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF2854",7.44474140690723e-06,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,1.11606520052901e-05,0.000121853277576228,5.81882506284331e-06,6.26143779688465e-05,4.97240316244841e-05,5.80080051047045e-05,5.57817816701065e-06,5.80932629242987e-06,4.42343313704349e-05,7.49844918437323e-05,2.56489998493121e-05,7.44571145634393e-06,1.04644652919847e-05,1.08122134763429e-05,0,0.000100966622560195,0,0,5.82213381204211e-05,0.000146202602406323,0,0,0.000108398947544764,2.80615108317432e-05,4.25362976406534e-05,4.90313723364997e-05,5.25468126417122e-06,6.22076241664178e-05,5.64557104951166e-05,2.69119240007266e-05,6.95718720921132e-05,1.44590159193765e-05,2.41931581748681e-05,2.9601782027278e-05
"Kelch_1",3.72237070345362e-05,8.21040532034265e-05,8.99523252676082e-05,7.34602726845322e-05,4.37534638158854e-05,1.1903486531205e-05,4.95286523253702e-05,7.96160232933737e-05,2.79626419104077e-05,8.67789393299509e-05,0.000253082865657288,1.67409780079352e-05,6.64654241324878e-05,4.07317754399032e-05,4.55377294318884e-05,1.98896126497936e-05,6.3281460114223e-05,0.000139454454175266,6.39025892167285e-05,3.31757485278262e-05,6.81677198579385e-06,4.16796247551322e-05,2.23371343690318e-05,2.61611632299619e-05,4.1446818325981e-05,4.59688392561629e-05,5.84543604295864e-05,8.30402500976944e-05,3.72158800160028e-05,4.85177817670176e-05,3.44006123308995e-05,7.13860797144557e-05,5.39490720759603e-05,1.97088995535934e-05,4.6769184719572e-05,3.54469147005445e-05,6.96761606887101e-05,5.78014939058834e-05,8.7090673832985e-05,5.64557104951166e-05,4.70958670012716e-05,6.95718720921132e-05,3.61475397984413e-05,6.45150884663151e-05,5.18031185477366e-05
"Transket_pyr",0.0020621933697133,0.0017036591039711,0.00173479484444673,0.00190996708979784,0.00166263162500365,0.00147603232986942,0.00153538822208648,0.00166056277154751,0.00137949033424678,0.00164301458464707,0.00148686183573657,0.00164061584477765,0.00167825195934532,0.00175728516897868,0.00182435528536503,0.00174531351001939,0.00171387287809354,0.00180732972611145,0.001905459023917,0.00172513892344696,0.00172464331240584,0.00184672798915047,0.00201034209321286,0.00196208724224714,0.00189033532278061,0.00196899861480564,0.00166329225586005,0.00179757717858538,0.00158167490068012,0.00162049391101839,0.0017286307696277,0.00185603807257585,0.00174435333045605,0.00205958000335051,0.00171175216073633,0.00193540154264973,0.00179609658664231,0.00180235567361073,0.00179157957599283,0.00146784847287303,0.00187710669905068,0.00173060031829131,0.00175677043420425,0.00186287317946485,0.0017835073671435
"DUF2262",0,0,0,0,0,0,0,0,0,0,0,0,0,1.74564751885299e-05,0,0,0,0,0,1.10585828426087e-05,0,0,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HgmA",3.72237070345362e-05,6.15780399025699e-05,0.000128503321810869,5.87682181476258e-05,5.83379517545139e-05,2.380697306241e-05,8.25477538756171e-05,5.11817292600259e-05,0.000102529687004828,1.73557878659902e-05,8.22519313386186e-05,2.79016300132254e-05,4.43102827549918e-05,8.72823759426497e-05,5.12299456108744e-05,5.46964347869325e-05,5.27345500951859e-05,6.13599598371172e-05,6.39025892167285e-05,9.39979541621741e-05,1.36335439715877e-05,5.77102496609523e-05,0.000100517104660643,2.61611632299619e-05,4.86549606435429e-05,5.66949017492676e-05,6.90824259622385e-05,8.30402500976944e-05,2.79119100120021e-05,6.79248944738247e-05,4.30007654136244e-05,5.35395597858418e-05,0.000107898144151921,4.92722488839836e-05,1.87076738878288e-05,4.96256805807623e-05,3.09671825283156e-05,6.30561751700546e-05,8.7090673832985e-05,1.88185701650389e-05,2.69119240007266e-05,2.60894520345424e-05,9.39836034759474e-05,3.22575442331575e-05,4.44026730409171e-05
"LRR_adjacent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06438605828938e-06,0
"DUF3114",0,0,0,0,0,0,0,5.68685880666955e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EcoRI",0,2.73680177344755e-05,1.28503321810869e-05,0,0,2.380697306241e-05,1.65095507751234e-05,0,0,0,0,5.58032600264507e-06,0,0,2.84610808949302e-06,4.97240316244841e-06,0,0,0,0,0,0,7.44571145634393e-06,0,0,3.06458928374419e-06,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,6.72798100018166e-06,1.73929680230283e-05,0,0,0
"VD10_N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35383694391439e-06,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"DUF2931",7.44474140690723e-06,0,0,0,8.75069276317708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF3254",0,0,0,0,0,0,0,0,0,5.78526262199673e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecanex_C",0,0,0,0,0,0,0,0,0,0,0,0,5.53878534437398e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40044550681951e-06
"Cloacin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57817816701065e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79830240253201e-05,0,0,0,0,0,0,0,0,0,0,0,0
"RPN7",1.48894828138145e-05,3.42100221680944e-05,0.000141353653991956,4.40761636107193e-05,1.45844879386285e-05,8.33244057184349e-05,3.30191015502468e-05,5.68685880666955e-05,0,1.73557878659902e-05,7.59248596971864e-05,3.34819560158704e-05,3.87714974106179e-05,5.23694255655898e-05,4.83838375213814e-05,2.48620158122421e-05,3.16407300571115e-05,2.23127126680426e-05,4.64746103394389e-05,2.21171656852174e-05,4.77174039005569e-05,6.09163746421163e-05,5.95656916507515e-05,5.23223264599237e-05,6.48732808580573e-05,8.12116160192211e-05,4.25122621306083e-05,7.81555295037124e-05,5.58238200240042e-05,0,2.58004592481746e-05,1.78465199286139e-05,1.79830240253201e-05,4.92722488839836e-05,2.80615108317432e-05,7.08938294010889e-05,3.61283796163682e-05,4.7292131377541e-05,3.73245744998507e-05,1.88185701650389e-05,4.70958670012716e-05,3.47859360460566e-05,5.06065557178178e-05,2.41931581748681e-05,2.9601782027278e-05
"GETHR",7.44474140690723e-06,6.84200443361887e-06,0,1.46920545369064e-05,0,0,1.65095507751234e-05,0,0,1.15705252439935e-05,1.26541432828644e-05,0,5.53878534437398e-06,0,2.84610808949302e-06,4.97240316244841e-06,5.27345500951859e-06,5.57817816701065e-06,0,0,0,0,0,0,0,4.59688392561629e-06,1.06280655326521e-05,0,0,0,8.60015308272487e-06,5.94883997620464e-06,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,1.61287721165788e-05,0
"Ta0938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23223264599237e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"Zot",2.23342242207217e-05,6.84200443361887e-05,7.71019930865213e-05,0,1.45844879386285e-05,4.761394612482e-05,6.60382031004936e-05,4.54948704533564e-05,3.72835225472103e-05,5.20673635979705e-05,8.22519313386186e-05,3.34819560158704e-05,2.21551413774959e-05,3.49129503770599e-05,3.13071889844232e-05,4.47516284620357e-05,3.69141850666301e-05,6.13599598371172e-05,2.32373051697195e-05,2.21171656852174e-05,6.81677198579385e-06,3.52673747928042e-05,2.97828458253757e-05,1.56966979379771e-05,1.26142490557334e-05,2.14521249862093e-05,1.59420982989781e-05,1.95388823759281e-05,3.72158800160028e-05,2.91106690602106e-05,1.72003061654497e-05,2.37953599048186e-05,5.39490720759603e-05,0,4.6769184719572e-05,2.12681488203267e-05,3.09671825283156e-05,4.20374501133698e-05,3.73245744998507e-05,1.88185701650389e-05,6.72798100018166e-06,8.69648401151414e-06,1.44590159193765e-05,1.61287721165788e-05,1.4800891013639e-05
"GRAM",0,6.84200443361887e-06,0,1.46920545369064e-05,0,0,0,0,0,0,6.3270716414322e-06,5.58032600264507e-06,0,1.16376501256866e-05,0,0,1.05469100190372e-05,5.57817816701065e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"A-2_8-polyST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23223264599237e-06,0,0,5.31403276632604e-06,0,0,9.70355635340352e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF1651",5.21131898483506e-05,0,1.28503321810869e-05,4.40761636107193e-05,0,0,0,5.68685880666955e-06,0,0,6.3270716414322e-06,2.23213040105803e-05,0.000409870115483674,0.000116376501256866,0.000307379673665246,0.000318233802396698,0.000300586935542559,7.25163161711385e-05,0.000151042483603177,0.000276464571065218,0.000463540495033982,0.000208398123775661,4.09514130098916e-05,4.70900938139313e-05,2.52284981114667e-05,3.06458928374419e-06,0.000371982293642823,1.46541617819461e-05,2.79119100120021e-05,9.70355635340352e-05,0.000447207960301693,5.94883997620464e-06,0.000215796288303841,0.000246361244419918,0.000243199760541774,0.000226860254083485,0.000296768832563025,6.30561751700546e-05,0.000311038120832089,0.000470464254125971,0.000316215107008538,0.000339162876449052,0.000159049175113142,0.000153223335107498,0.000111006682602293
"UPF0261",7.44474140690723e-06,6.84200443361887e-06,2.57006643621738e-05,8.81523272214386e-05,0,1.1903486531205e-05,6.60382031004936e-05,9.09897409067128e-05,1.86417612736051e-05,2.31410504879869e-05,3.79624298485932e-05,5.58032600264507e-06,1.66163560331219e-05,0,8.53832426847907e-06,1.49172094873452e-05,2.10938200380743e-05,1.11563563340213e-05,0,1.10585828426087e-05,6.81677198579385e-06,4.80918747174602e-05,5.58428359225795e-05,1.56966979379771e-05,3.78427471672001e-05,1.37906517768489e-05,2.65701638316302e-05,5.37319265338023e-05,3.72158800160028e-05,2.91106690602106e-05,0,1.18976799524093e-05,3.59660480506402e-05,1.97088995535934e-05,1.87076738878288e-05,0,1.54835912641578e-05,1.3136703160428e-05,1.24415248332836e-05,0,1.34559620003633e-05,2.60894520345424e-05,7.22950795968826e-06,8.06438605828938e-06,2.22013365204585e-05
"Med4",0,0,0,0,0,0,0,1.13737176133391e-05,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,3.20612498116402e-06,0,0,0,0,0,0,0,0,0,0,1.79830240253201e-05,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"DUF760",0,2.73680177344755e-05,1.28503321810869e-05,0,0,0,0,0,0,0,0,5.58032600264507e-06,4.98490680993658e-05,2.90941253142166e-05,4.83838375213814e-05,2.98344189746905e-05,4.21876400761487e-05,1.11563563340213e-05,1.74279788772896e-05,6.63514970556523e-05,4.77174039005569e-05,1.92367498869841e-05,3.72285572817197e-06,0,7.20814231756192e-06,1.5322946418721e-06,3.18841965979562e-05,0,0,2.91106690602106e-05,5.16009184963492e-05,0,3.59660480506402e-05,4.92722488839836e-05,0.000102892206383058,1.41787658802178e-05,2.32253868962367e-05,7.88202189625683e-06,4.97660993331343e-05,5.64557104951166e-05,2.0183943000545e-05,7.82683561036273e-05,4.33770477581296e-05,8.06438605828938e-06,2.22013365204585e-05
"MoeA_N",0.000148894828138145,0.000287364186211993,0.000244156311440651,0.000279149036201222,0.000408365662281597,0.00026187670368651,0.000297171913952221,0.000278656081526808,0.00032623082228809,0.000231410504879869,0.000272064080581584,0.000323658908153414,0.000171702345675593,0.000232753002513732,0.000233380863338428,0.000179006513848143,0.000195117835352188,0.000195236235845373,0.000214945072819905,0.000165878742639131,0.000156785755673258,0.000262902248455449,0.00017125136349591,0.000313933958759542,0.000313554190813943,0.000323314169435012,0.00022850340895202,0.000273544353262993,0.000325638950140025,0.00016496045800786,0.000180603214737222,0.000309339678762641,0.000179830240253201,0.000256215694196715,0.000168369064990459,0.000262307168784029,0.000214189679154183,0.000291634810161503,0.000199064397332537,0.000207004271815427,0.000228751354006176,0.000286983972379967,0.000260262286548777,0.000249995967806971,0.000214612919697766
"DUF1817",7.44474140690723e-06,0,0,0,0,0,0,0,0,0,0,0,2.76939267218699e-05,0,2.84610808949302e-06,0,0,2.23127126680426e-05,0,0,0,1.60306249058201e-05,1.11685671845159e-05,0,1.80203557939048e-06,3.06458928374419e-06,5.31403276632604e-05,0,0,0,0,1.18976799524093e-05,0,0,0,0,0,0,1.24415248332836e-05,0,0,0,0,2.41931581748681e-05,1.4800891013639e-05
"CBM_5_12",2.23342242207217e-05,0.000164208106406853,3.85509965432606e-05,0.000161612599905971,0.000816731324563195,0,9.90573046507404e-05,0.000147858328973408,9.32088063680257e-06,8.09936767079542e-05,8.85790029800507e-05,7.8124564037031e-05,5.53878534437398e-05,0.000110557676194023,7.96910265058046e-05,5.96688379493809e-05,4.21876400761487e-05,5.02036035030959e-05,5.80932629242987e-05,5.52929142130436e-05,2.72670879431754e-05,0.000121832749284233,9.30713932042991e-05,4.70900938139313e-05,1.44162846351238e-05,3.52427767630582e-05,9.56525897938687e-05,5.37319265338023e-05,6.51277900280049e-05,4.85177817670176e-05,8.60015308272487e-06,0.000130874479476502,7.19320961012804e-05,3.94177991071868e-05,2.80615108317432e-05,6.380444646098e-05,7.99985548648154e-05,0.000120857669075938,2.48830496665671e-05,5.64557104951166e-05,2.0183943000545e-05,4.34824200575707e-05,3.61475397984413e-05,2.41931581748681e-05,6.66040095613756e-05
"Herpes_UL56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72285572817197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF761",0,0,0,0,0,0,0,0,0,5.78526262199673e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TraG_N",0,0,0,0,0,0,0,0,1.86417612736051e-05,1.15705252439935e-05,0,0,0,0,0,0,0,3.34690690020639e-05,0,0,6.81677198579385e-06,0,0,0,1.08122134763429e-05,0,0,4.88472059398202e-06,0,9.70355635340352e-06,0,0,0,0,0,0,5.1611970880526e-06,2.62734063208561e-06,0,0,0,0,7.22950795968826e-06,8.06438605828938e-06,0
"GreA_GreB_N",0.000305234397683196,0.00030104819507923,0.000346958968889346,0.000381993417959567,0.000393781174342969,0.000369008082467355,0.000214624160076604,0.000335524669593503,0.000279626419104077,0.000341330494697807,0.000272064080581584,0.000368301516174575,0.000271400481874325,0.000226934177450889,0.000213458106711977,0.000268509770772214,0.000300586935542559,0.000251018017515479,0.000302084967206353,0.000204583782588261,0.000299937967374929,0.000285345123323597,0.000368562717089025,0.000319166191405535,0.000369417293775048,0.000366218419407431,0.000244445507250998,0.000263774912075029,0.000344246890148026,0.000310513803308913,0.000206403673985397,0.000279595478881618,0.000251762336354481,0.000226652344866324,0.000205784412766117,0.000241039019963702,0.000283865839842893,0.000273243425736903,0.000236388971832388,0.000188185701650389,0.000336399050009083,0.000295680456391481,0.000267491794508466,0.000282253512040128,0.00029601782027278
"DUF2895",0,0,0,0,0,0,0,2.84342940333477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20612498116402e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PilZ",7.44474140690723e-06,0,1.28503321810869e-05,5.87682181476258e-05,7.29224396931424e-05,3.5710459593615e-05,0,0.000113737176133391,4.66044031840128e-05,7.52084140859574e-05,5.06165731314576e-05,1.11606520052901e-05,2.21551413774959e-05,3.49129503770599e-05,3.41532970739163e-05,4.47516284620357e-05,3.69141850666301e-05,3.34690690020639e-05,0,4.97636227917392e-05,4.77174039005569e-05,6.41224996232803e-06,7.44571145634393e-06,0,1.26142490557334e-05,6.12917856748839e-06,3.18841965979562e-05,0,1.86079400080014e-05,0.000174664014361263,4.30007654136244e-05,1.78465199286139e-05,5.39490720759603e-05,1.97088995535934e-05,4.6769184719572e-05,2.12681488203267e-05,2.32253868962367e-05,2.62734063208561e-05,1.24415248332836e-05,1.88185701650389e-05,6.72798100018166e-06,8.69648401151414e-06,2.16885238790648e-05,4.83863163497363e-05,5.18031185477366e-05
"Disaggr_assoc",0,0,0,1.46920545369064e-05,0,1.1903486531205e-05,0,0,0,0,0,5.58032600264507e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.80203557939048e-06,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"DUF350",1.48894828138145e-05,0,2.57006643621738e-05,0,0,0,3.30191015502468e-05,1.70605764200086e-05,0,5.78526262199673e-06,6.3270716414322e-06,3.90622820185155e-05,1.66163560331219e-05,2.90941253142166e-05,1.70766485369581e-05,3.48068221371389e-05,1.58203650285558e-05,1.11563563340213e-05,0,2.21171656852174e-05,6.81677198579385e-06,3.20612498116402e-05,7.44571145634393e-06,0,3.60407115878096e-06,1.83875357024652e-05,5.31403276632604e-06,9.76944118796405e-06,1.86079400080014e-05,2.91106690602106e-05,0,5.94883997620464e-06,1.79830240253201e-05,9.85444977679671e-06,1.87076738878288e-05,2.83575317604356e-05,1.80641898081841e-05,5.25468126417122e-06,2.48830496665671e-05,0,1.34559620003633e-05,2.60894520345424e-05,7.22950795968826e-06,1.61287721165788e-05,7.40044550681951e-06
"N2227",0,6.84200443361887e-06,0,0,0,0,4.95286523253702e-05,0,0,1.15705252439935e-05,1.89812149242966e-05,0,5.53878534437398e-06,0,5.69221617898605e-06,0,1.05469100190372e-05,0,0,0,0,3.20612498116402e-06,0,0,9.0101778969524e-06,3.06458928374419e-06,0,0,0,9.70355635340352e-06,0,0,0,0,0,0,2.5805985440263e-06,5.25468126417122e-06,0,0,0,8.69648401151414e-06,0,0,0
"KIX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.16376501256866e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF1997",4.46684484414434e-05,0,0,0,2.91689758772569e-05,0,1.65095507751234e-05,0,0,0,1.89812149242966e-05,5.02229340238057e-05,6.64654241324878e-05,5.23694255655898e-05,4.55377294318884e-05,3.97792252995873e-05,5.80080051047045e-05,5.57817816701065e-06,2.90466314621493e-05,7.18807884769567e-05,8.861803581532e-05,6.09163746421163e-05,1.86142786408598e-05,1.04644652919847e-05,3.60407115878096e-06,0,0.000191305179587737,4.88472059398202e-06,0,4.85177817670176e-05,0.000215003827068122,5.94883997620464e-06,7.19320961012804e-05,8.86900479911704e-05,8.41845324952295e-05,2.83575317604356e-05,6.45149636006575e-05,5.25468126417122e-06,6.22076241664178e-05,0.000131729991155272,6.05518290016349e-05,6.95718720921132e-05,2.89180318387531e-05,6.45150884663151e-05,4.44026730409171e-05
"GATase_2",0.00177929319625083,0.00191576124141328,0.00174764517662782,0.00168958627174424,0.00135635737829245,0.00202359271030485,0.00171699328061283,0.00151839130138077,0.00166843763398766,0.00153309459482913,0.00156911376707518,0.00204797964297074,0.00172256224210031,0.00153035099152779,0.00165074269190595,0.0017254238973696,0.00184043579832199,0.00150052992692587,0.00182993778211541,0.00162008238644218,0.0018882458400649,0.00175054423971555,0.00187631928699867,0.00206673189516699,0.00193358417668598,0.00191996518626574,0.00178551500948555,0.0017926924579914,0.00186079400080014,0.00162049391101839,0.0016598295449659,0.00164187983343248,0.00188821752265861,0.00165554756250185,0.00177722901934373,0.00175816696914701,0.00175222641139386,0.00188643057383747,0.00200308549815865,0.00156194132369823,0.0017223631360465,0.00203497725869431,0.00194473764115614,0.00173384300253222,0.00160589667497983
"Dynactin_p22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"UPF0027",0,0,0,0,1.45844879386285e-05,3.5710459593615e-05,1.65095507751234e-05,1.70605764200086e-05,8.38879257312231e-05,4.62821009759738e-05,6.3270716414322e-06,2.23213040105803e-05,8.30817801656097e-05,5.23694255655898e-05,5.40760537003674e-05,4.97240316244841e-05,1.05469100190372e-05,7.25163161711385e-05,4.06652840470091e-05,2.21171656852174e-05,6.81677198579385e-06,2.24428748681481e-05,3.72285572817197e-05,3.13933958759542e-05,3.60407115878096e-06,4.90334285399071e-05,0,2.93083235638921e-05,8.37357300360064e-05,0,6.02010715790741e-05,8.3283759666865e-05,5.39490720759603e-05,3.94177991071868e-05,7.48306955513152e-05,4.96256805807623e-05,2.32253868962367e-05,5.78014939058834e-05,2.48830496665671e-05,0,4.70958670012716e-05,8.69648401151414e-06,3.61475397984413e-05,1.61287721165788e-05,2.9601782027278e-05
"TIM",0.000521131898483506,0.000431046279317989,0.000591115280329997,0.000323225199811942,0.00018959834320217,0.00049994643431061,0.000313681464727345,0.000409453834080207,0.000531290196297746,0.000480176797625728,0.000411259656693093,0.00034039988616135,0.000520645822371154,0.000506237780467368,0.000483838375213814,0.000497240316244841,0.00048515786087571,0.000568974173035087,0.000371796882715512,0.000486577645074784,0.000415823091133425,0.000403971747626666,0.000483971244662356,0.000517991031953245,0.000547818816134706,0.000484205106831582,0.000552659407697908,0.000581281750683861,0.000446590560192034,0.000553102712144001,0.000481608572632593,0.000511600237953599,0.000575456768810243,0.000473013589286242,0.000607999401354436,0.000503346188747731,0.000552248088421629,0.000499194720096266,0.000622076241664178,0.000508101394456049,0.000518054537013987,0.000678325752898103,0.00037593441390379,0.00052418509378881,0.0006068365315592
"LuxS",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HisK_N",0,0,0,0,1.45844879386285e-05,2.380697306241e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60015308272487e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bunya_NS-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06458928374419e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40044550681951e-06
